id,symbol,name,current_price,market_cap,total_volume,price_change_percentage_24h,categories,hashing_algorithm,genesis_date,sentiment_up,sentiment_down,developer_score,community_score,liquidity_score
wrapped-bitcoin,wbtc,Wrapped Bitcoin,88218.0,11029232985,84219239.0,0.39798,"['Crypto-Backed Tokens', 'Tokenized BTC', 'BNB Chain Ecosystem', 'Wrapped-Tokens', 'Solana Ecosystem', 'Avalanche Ecosystem', 'Ethereum Ecosystem', 'Optimism Ecosystem', 'Aptos Ecosystem', 'Sui Ecosystem', 'Base Ecosystem', 'FTX Holdings', 'Tron Ecosystem', 'Osmosis Ecosystem', 'Hedera Ecosystem', 'Berachain Ecosystem', 'Telos Ecosystem', 'Sonic Ecosystem', 'Sei Network Ecosystem', 'World Liberty Financial Portfolio', 'Swellchain Ecosystem', 'Soneium Ecosystem', 'Unichain Ecosystem', 'Monad Ecosystem', 'BOB Network Ecosystem']",,,0.0,100.0,,,
wrapped-beacon-eth,wbeth,Wrapped Beacon ETH,3240.12,10576789644,991402.0,0.14918,"['Crypto-Backed Tokens', 'BNB Chain Ecosystem', 'Wrapped-Tokens', 'Liquid Staking Tokens', 'Ethereum Ecosystem', 'Liquid Staking']",,,100.0,0.0,,,
usds,usds,USDS,0.999898,9922315930,2405621.0,0.0176,"['Stablecoins', 'USD Stablecoin', 'Solana Ecosystem', 'Arbitrum Ecosystem', 'Ethereum Ecosystem', 'Fiat-backed Stablecoin']",,,0.0,100.0,,,
wrapped-eeth,weeth,Wrapped eETH,3233.64,9125272313,2165023.0,0.2502,"['Crypto-Backed Tokens', 'BNB Chain Ecosystem', 'Wrapped-Tokens', 'Avalanche Ecosystem', 'Ethereum Ecosystem', 'Optimism Ecosystem', 'ZkSync Ecosystem', 'Linea Ecosystem', 'Base Ecosystem', 'Scroll Ecosystem', 'Restaking', 'Berachain Ecosystem', 'Liquid Restaking Tokens', 'Blast Ecosystem', 'Ether.fi Ecosystem', 'Mode Ecosystem', 'Sonic Ecosystem', 'Morph L2 Ecosystem', 'Ink Ecosystem', 'Swellchain Ecosystem', 'Unichain Ecosystem', 'HyperEVM Ecosystem', 'Initia Ecosystem', 'Plasma Ecosystem']",,,,,,,
binance-bridged-usdt-bnb-smart-chain,bsc-usd,Binance Bridged USDT (BNB Smart Chain),0.999845,8982876798,744066961.0,0.03628,"['BNB Chain Ecosystem', 'Bridged USDT', 'Bridged-Tokens', 'Bridged Stablecoin']",,,66.67,33.33,,,
chainlink,link,Chainlink,12.4,8772272577,320863501.0,-1.62403,"['Artificial Intelligence (AI)', 'Business Services', 'Infrastructure', 'Decentralized Finance (DeFi)', 'Oracle', 'BNB Chain Ecosystem', 'Solana Ecosystem', 'Avalanche Ecosystem', 'Polygon Ecosystem', 'Near Protocol Ecosystem', 'Gnosis Chain Ecosystem', 'Fantom Ecosystem', 'Harmony Ecosystem', 'Arbitrum Ecosystem', 'Celo Ecosystem', 'Moonriver Ecosystem', 'Moonbeam Ecosystem', 'Ethereum Ecosystem', 'XDC Ecosystem', 'Cronos Ecosystem', 'Metis Ecosystem', 'Optimism Ecosystem', 'Kaia Ecosystem', 'ZkSync Ecosystem', 'Real World Assets (RWA)', 'Mantle Ecosystem', 'Linea Ecosystem', 'Base Ecosystem', 'Shibarium Ecosystem', 'Ronin Ecosystem', 'Starknet Ecosystem', 'Osmosis Ecosystem', 'Hedera Ecosystem', 'Scroll Ecosystem', 'Berachain Ecosystem', 'Merlin Chain Ecosystem', 'Blast Ecosystem', 'WEMIX Ecosystem', 'Cybersecurity', 'Cross-chain Communication', 'Mode Ecosystem', 'Zora Ecosystem', 'Bitlayer Ecosystem', 'Core Ecosystem', 'Energi Ecosystem', 'Sora Ecosystem', 'Polygon zkEVM Ecosystem', 'Huobi ECO Chain Ecosystem', 'Milkomeda (Cardano) Ecosystem', 'Astar Ecosystem', 'opBNB Ecosystem', 'Rootstock Ecosystem', 'NEO Ecosystem', 'Fraxtal Ecosystem', 'X Layer Ecosystem', 'GMCI DeFi Index', 'GMCI 30 Index', 'Sonic Ecosystem', 'Etherlink Ecosystem', 'RWA Protocol', 'GMCI Index', 'Optimism Superchain Ecosystem', 'Zircuit Ecosystem', 'Cronos zkEVM Ecosystem', 'Sei Network Ecosystem', 'Mint Ecosystem', 'World Chain Ecosystem', 'ApeChain Ecosystem', 'Bittensor Ecosystem', 'Kroma Ecosystem', 'BSquared Network Ecosystem', 'World Liberty Financial Portfolio', 'Abstract Ecosystem', 'Ink Ecosystem', 'Soneium Ecosystem', 'Lisk Ecosystem', 'Made in USA', 'Unichain Ecosystem', 'HyperEVM Ecosystem', 'Coinbase 50 Index', 'Corn Ecosystem', 'Chain Abstraction', 'Superseed Ecosystem', 'Lens Ecosystem', 'Plume Network Ecosystem', 'Hydration Ecosystem', 'Hemi Ecosystem', 'Katana Ecosystem', 'Botanix Ecosystem', 'TAC Ecosystem', 'HashKey Chain Ecosystem', 'Plasma Ecosystem', 'x402 Ecosystem', 'Monad Ecosystem', 'BOB Network Ecosystem', 'Henesys Ecosystem', 'Bittensor EVM Ecosystem']",,2017-09-16,77.78,22.22,,,
monero,xmr,Monero,469.6,8644366548,217047353.0,3.97479,"['Smart Contract Platform', 'Privacy Coins', 'Layer 1 (L1)', 'Proof of Work (PoW)', 'Galaxy Digital Portfolio']",RandomX,2014-04-18,90.0,10.0,,,
weth,weth,WETH,2983.04,7472437696,43709323.0,0.31206,"['Crypto-Backed Tokens', 'Wrapped-Tokens', 'Terra Ecosystem', 'Ethereum Ecosystem', 'FTX Holdings', 'Tron Ecosystem', 'Index Coop Defi Index']",,2016-06-17,0.0,100.0,,,
leo-token,leo,LEO Token,8.0,7371170018,3291429.0,-4.52396,"['Exchange-based Tokens', 'Centralized Exchange (CEX) Token', 'Ethereum Ecosystem', 'Sora Ecosystem']",,2019-05-20,33.33,66.67,,,
zcash,zec,Zcash,433.24,7113180087,489649076.0,-4.08618,"['Smart Contract Platform', 'Privacy Coins', 'Layer 1 (L1)', 'Near Protocol Ecosystem', 'Zero Knowledge (ZK)', 'Proof of Work (PoW)', 'Pantera Capital Portfolio', 'Made in USA', 'Coinbase 50 Index', 'Quantum-Resistant']",Equihash,2016-10-28,68.75,31.25,,,
stellar,xlm,Stellar,0.215802,6980590021,92417889.0,-1.92522,"['Smart Contract Platform', 'Real World Assets (RWA)', 'Stellar Ecosystem', 'GMCI 30 Index', 'GMCI Index', 'Made in USA', 'Coinbase 50 Index']",,,88.89,11.11,,,
